Month,Initial Claims,Continued Weeks,Benefits Paid,Weeks Compen.,Average Weekly Benefit,Recipients,First Payments,Final Payments
01/31/2000 12:00:00 AM,18783,151465,$27275634,118252,$230.66,42635,19299,1259
02/29/2000 12:00:00 AM,10557,122461,$27480496,118309,$232.28,36151,8279,1143
03/31/2000 12:00:00 AM,9223,101975,$28419193,122987,$231.07,34406,5523,1814
04/30/2000 12:00:00 AM,7503,70895,$16819391,73892,$227.62,25243,3810,1582
05/31/2000 12:00:00 AM,7917,71082,$12773144,57295,$222.94,19246,4218,1190
06/30/2000 12:00:00 AM,9723,60078,$14611532,66187,$220.76,19507,5332,1307
07/31/2000 12:00:00 AM,11583,77524,$13312987,59632,$223.25,21904,6759,1112
08/31/2000 12:00:00 AM,7961,59478,$14991345,67027,$223.66,18807,4385,1229
09/30/2000 12:00:00 AM,7404,51761,$10992082,48149,$228.29,15859,3366,1023
10/31/2000 12:00:00 AM,9762,65629,$11551020,49773,$232.07,17089,4655,1010
11/30/2000 12:00:00 AM,18335,71172,$16806341,73123,$229.84,23914,6849,1423
12/31/2000 12:00:00 AM,34580,105628,$22707767,95168,$238.61,34115,11980,1534
01/31/2001 12:00:00 AM,17707,186625,$41817004,176018,$237.57,54965,25033,1832
02/28/2001 12:00:00 AM,12561,143388,$32831343,136167,$241.11,41740,8566,1432
03/31/2001 12:00:00 AM,13552,137409,$31918388,132534,$240.83,40628,6679,2103
04/30/2001 12:00:00 AM,15012,133421,$25063101,106049,$236.34,37470,6418,2069
05/31/2001 12:00:00 AM,13308,90633,$24627739,104138,$236.49,33760,9693,1884
06/30/2001 12:00:00 AM,14665,85753,$18598715,79841,$232.95,26542,5600,1611
07/31/2001 12:00:00 AM,21709,118737,$20747006,89531,$231.73,34867,10742,1599
08/31/2001 12:00:00 AM,13312,89296,$24210311,101194,$239.25,30691,7167,1758
09/30/2001 12:00:00 AM,15162,81657,$17853088,74716,$238.95,26399,5012,1472
10/31/2001 12:00:00 AM,19484,115093,$25489351,103686,$245.83,32850,7915,1881
11/30/2001 12:00:00 AM,24788,106619,$24449501,100655,$242.90,36707,9805,1691
